extracted_name,baseline_name,match_type,is_match,score,reasoning,extracted_long,extracted_url,extracted_domain,baseline_url,baseline_domain,same_domain,edit_distance,url_similarity,confidence
CATCHR,cath,edit_dist=2,N,0.5,Score=0.5: edit_dist=2,Catalog of Assets for Translational and Clinical Health Research,,,http://www.cathdb.info,cathdb.info,False,2.0,0.0,LOW
MGOS,mgi,edit_dist=2,N,0.5,Score=0.5: edit_dist=2,Magnaporthe oryzae annotation database,,,http://www.informatics.jax.org,jax.org,False,2.0,0.0,LOW
MIGREW,mirev,edit_dist=2,N,0.5,Score=0.5: edit_dist=2,Wheat Resistance Genes Database,,,http://www.physio.wzw.tum.de/mirev,tum.de,False,2.0,0.0,LOW
ImmuneDB,immunet,edit_dist=2,N,0.5,Score=0.5: edit_dist=2,Adaptive Immune Receptor Database,http://immunedb.comA,immunedb.coma,http://immunet.princeton.edu,princeton.edu,False,2.0,0.41,LOW
MedGen,melgene,edit_dist=2,N,0.5,Score=0.5: edit_dist=2,Medical Genetics Portal,,,http://www.melgene.org,melgene.org,False,2.0,0.0,LOW
Ewé,ewas,edit_dist=2,N,0.5,Score=0.5: edit_dist=2,Ethnobotanical Database,http://www.ewedb.com,ewedb.com,http://bigd.big.ac.cn/ewas/datahub,ac.cn,False,2.0,0.22,LOW
cRFP,craft,edit_dist=2,N,0.5,Score=0.5: edit_dist=2,Common Repository of Fetal Bovine Serum Proteins,,,http://bionlp-corpora.sourceforge.net/CRAFT/index.shtml,sourceforge.net,False,2.0,0.0,LOW
IMID,impc,edit_dist=2,N,0.5,Score=0.5: edit_dist=2,Integrated Molecular Interaction Database,http://www.integrativebiology.org,integrativebiology.org,http://www.mousephenotype.org,mousephenotype.org,False,2.0,0.35,LOW
CUPP,cuas,edit_dist=2,N,0.5,Score=0.5: edit_dist=2,Conserved Unique Peptide Patterns Platform,https://cupp.info,cupp.info,http://cmb.bnu.edu.cn/alt_iso/index.php,edu.cn,False,2.0,0.32,LOW
DAWN,daa,edit_dist=2,N,0.5,Score=0.5: edit_dist=2,Diversity Among Wheat geNomes,,,http://ageing-map.org,ageing-map.org,False,2.0,0.0,LOW
RMgmDB,rmdb,edit_dist=2,N,0.5,Score=0.5: edit_dist=2,Rodent Malaria Genetically Modified Database,http://www.pberghei.eu,pberghei.eu,http://rmdb.stanford.edu,stanford.edu,False,2.0,0.36,LOW
